year,month,day,date,growing.season,temp_ave,temp_ave_max,temp_max,temp_ave_min,temp_min,hum_ave,hum_max,hum_min,prec_tot,annual
13,9,1,2013-01-09,none,68.36,85.2,103,52.7,42,48.05,100,8,0.38,
13,10,1,2013-01-10,none,60.53,77.74,88,45.29,35,37.62,99,8,0,
13,11,1,2013-01-11,2014,53.37,67.17,79,41.63,30,48.82,100,8,0.56,
13,12,1,2013-01-12,2014,49.27,61.68,75,37.71,16,36.37,100,7,0.27,
14,1,1,2014-01-01,2014,54.43,67.71,77,42.06,33,36.8,99,6,0.05,
14,2,1,2014-01-02,2014,48.38,59.96,75,38.96,25,75.38,100,20,8.1,
14,3,1,2014-01-03,2014,53.31,64.94,82,42.48,33,60.68,100,10,4.24,14.7
14,4,1,2014-01-04,2014,58.33,72.53,85,44.8,34,55.06,100,10,1.47,
14,5,1,2014-01-05,2014,65.38,79.52,92,50.84,42,41.55,98,9,0,
14,6,1,2014-01-06,2014,73.74,88.9,104,56.43,44,36.97,99,9,0,
14,7,1,2014-01-07,none,77.72,94.1,103,59.48,50,38.23,95,5,0,
14,8,1,2014-01-08,none,74.5,90.19,101,57.16,48,42.99,95,8,0,
14,9,1,2014-01-09,none,70.39,86.23,98,54.2,45,45.15,100,7,0.47,
14,10,1,2014-01-10,none,63.99,77.71,96,51.26,40,51.14,100,4,1.07,
14,11,1,2014-01-11,2015,52.19,63.83,80,42.47,31,67.28,100,12,2.83,
14,12,1,2014-01-12,2015,47.15,52.94,70,42.19,26,85.38,100,12,12.7,
15,1,1,2015-01-01,2015,52.11,63.45,74,42.16,28,55.36,100,13,0.08,
15,2,1,2015-01-02,2015,53.56,65.21,74,43.46,34,59.06,100,11,4.93,
15,3,1,2015-01-03,2015,57.41,70.39,82,44.48,31,52.56,99,10,0.3,23.4
15,4,1,2015-01-04,2015,56.94,70.8,85,43.47,29,51.61,99,11,1.41,
15,5,1,2015-01-05,2015,60.57,75.32,88,45,38,58.13,98,14,1.19,
15,6,1,2015-01-06,2015,76.06,91.5,106,57.5,47,38.03,95,8,0.01,
15,7,1,2015-01-07,none,75.73,90.87,102,58.65,46,42.76,98,7,0.03,
15,8,1,2015-01-08,none,74.16,89.35,100,58.48,47,40.6,94,6,0,
15,9,1,2015-01-09,none,71.15,84.97,101,57.13,46,35.41,99,4,0.47,
15,10,1,2015-01-10,none,66.63,79.32,92,54.58,45,44.26,93,9,0,
15,11,1,2015-01-11,2016,48.47,57.97,70,39.8,28,57.46,99,20,1.82,
15,12,1,2015-01-12,2016,42.97,49.06,59,37,25,77.46,99,30,5.4,
16,1,1,2016-01-01,2016,44.52,49.74,62,39.68,31,83.92,99,30,8.22,
16,2,1,2016-01-02,2016,54.03,64,75,44.74,35,56.59,99,14,1.1,
16,3,1,2016-01-03,2016,51.26,59.65,76,43.29,36,71.18,99,16,9.12,27.1
16,4,1,2016-01-04,2016,57.53,67.93,82,46.97,37,56.9,99,16,0.92,
16,5,1,2016-01-05,2016,63.18,73.9,95,51.03,39,56.76,99,13,0.49,
16,6,1,2016-01-06,2016,73.38,86.4,99,58.43,44,36.15,97,8,0.07,
16,7,1,2016-01-07,none,77.05,90.55,102,60.74,50,35.35,81,6,0,
16,8,1,2016-01-08,none,76.23,90.74,98,60.06,48,36.17,86,8,0,
