id,pop,prop.germ,prop.dorm
42,10,0.285714286,0.714285714
80,10,0.142857143,0.857142857
163,10,0.142857143,0.857142857
227,10,0.142857143,0.857142857
264,10,0.142857143,0.857142857
282,10,0.142857143,0.857142857
514,10,0.142857143,0.857142857
24,11,0.285714286,0.714285714
96,11,0.571428571,0.428571429
216,11,0.428571429,0.571428571
288,11,0.142857143,0.857142857
317,11,0.428571429,0.571428571
323,11,0.571428571,0.428571429
520,11,0.428571429,0.571428571
70,13,0.285714286,0.714285714
190,13,0,1
340,13,0.142857143,0.857142857
347,13,0.285714286,0.714285714
374,13,0.428571429,0.571428571
403,13,0.428571429,0.571428571
544,13,0.428571429,0.571428571
91,15,0.714285714,0.285714286
205,15,0.428571429,0.571428571
230,15,0.285714286,0.714285714
333,15,0.142857143,0.857142857
402,15,0.285714286,0.714285714
414,15,0.571428571,0.428571429
576,15,0.142857143,0.857142857
20,16,0.285714286,0.714285714
39,16,0.285714286,0.714285714
296,16,0.285714286,0.714285714
386,16,0.714285714,0.285714286
478,16,0.428571429,0.571428571
500,16,0.428571429,0.571428571
505,16,0.142857143,0.857142857
15,17,0.142857143,0.857142857
186,17,0.714285714,0.285714286
195,17,0.285714286,0.714285714
196,17,0.285714286,0.714285714
275,17,0.571428571,0.428571429
474,17,0.428571429,0.571428571
582,17,0.285714286,0.714285714
17,18,0.285714286,0.714285714
25,18,0,1
35,18,0.285714286,0.714285714
202,18,0.428571429,0.571428571
305,18,0.428571429,0.571428571
405,18,0.142857143,0.857142857
498,18,0.142857143,0.857142857
172,19,0.142857143,0.857142857
335,19,0.142857143,0.857142857
343,19,0.142857143,0.857142857
449,19,0.142857143,0.857142857
480,19,0.571428571,0.428571429
482,19,0.285714286,0.714285714
569,19,0.142857143,0.857142857
18,2,0.142857143,0.857142857
93,2,0.142857143,0.857142857
101,2,0.142857143,0.857142857
116,2,0.428571429,0.571428571
156,2,0.285714286,0.714285714
240,2,0.142857143,0.857142857
256,2,0.285714286,0.714285714
310,2,0.285714286,0.714285714
318,2,0.142857143,0.857142857
377,2,0.285714286,0.714285714
450,2,0,1
502,2,0,1
554,2,0,1
606,2,0.142857143,0.857142857
40,20,0.428571429,0.571428571
71,20,0.142857143,0.857142857
212,20,0.142857143,0.857142857
352,20,0.285714286,0.714285714
467,20,0.285714286,0.714285714
522,20,0.142857143,0.857142857
578,20,0.142857143,0.857142857
29,23,0.571428571,0.428571429
278,23,0.285714286,0.714285714
306,23,0.714285714,0.285714286
341,23,0.285714286,0.714285714
381,23,0.428571429,0.571428571
404,23,0.571428571,0.428571429
565,23,0.571428571,0.428571429
87,25,0.571428571,0.428571429
170,25,0.714285714,0.285714286
179,25,0.428571429,0.571428571
459,25,0.571428571,0.428571429
462,25,0.428571429,0.571428571
574,25,0.142857143,0.857142857
588,25,0.714285714,0.285714286
235,26,0.285714286,0.714285714
243,26,0.428571429,0.571428571
448,26,0.285714286,0.714285714
452,26,0.428571429,0.571428571
496,26,0.285714286,0.714285714
557,26,0.142857143,0.857142857
560,26,0.571428571,0.428571429
10,27,0.428571429,0.571428571
277,27,0.142857143,0.857142857
326,27,0.142857143,0.857142857
339,27,0.428571429,0.571428571
371,27,0.142857143,0.857142857
473,27,0.142857143,0.857142857
566,27,0.428571429,0.571428571
19,29,0.142857143,0.857142857
31,29,0.142857143,0.857142857
102,29,0.142857143,0.857142857
132,29,0.285714286,0.714285714
455,29,0.285714286,0.714285714
460,29,0,1
552,29,0.285714286,0.714285714
109,3,0.142857143,0.857142857
185,3,0.571428571,0.428571429
260,3,0.428571429,0.571428571
344,3,0.428571429,0.571428571
345,3,0.285714286,0.714285714
368,3,0.571428571,0.428571429
530,3,0.285714286,0.714285714
143,4,0.285714286,0.714285714
311,4,0.142857143,0.857142857
314,4,0.285714286,0.714285714
425,4,0.142857143,0.857142857
484,4,0.285714286,0.714285714
521,4,0.428571429,0.571428571
570,4,0.142857143,0.857142857
99,5,0.428571429,0.571428571
188,5,0.285714286,0.714285714
224,5,0.714285714,0.285714286
292,5,0.285714286,0.714285714
481,5,0.285714286,0.714285714
579,5,0.142857143,0.857142857
608,5,0.142857143,0.857142857
8,6,0.428571429,0.571428571
49,6,0.428571429,0.571428571
74,6,0.428571429,0.571428571
123,6,0.714285714,0.285714286
165,6,0.285714286,0.714285714
440,6,0.428571429,0.571428571
475,6,0.714285714,0.285714286
97,9,0.285714286,0.714285714
253,9,0,1
284,9,0.428571429,0.571428571
387,9,0.571428571,0.428571429
430,9,0.571428571,0.428571429
471,9,0.285714286,0.714285714
501,9,0.428571429,0.571428571
