site,treatment,plot,prop.bad
19,harsh,1,9
19,harsh,2,7
19,harsh,3,8
19,harsh,4,10
19,harsh,5,2
20,harsh,1,5
20,harsh,2,15
20,harsh,3,9
20,harsh,4,9
20,harsh,5,11
6,benign,1,4
6,benign,2,4
6,benign,3,4
6,benign,4,1
6,benign,5,1
9,benign,1,3
9,benign,2,0
9,benign,3,3
9,benign,4,2
9,benign,5,0
15,benign,1,15
15,benign,2,13
15,benign,3,2
15,benign,4,10
15,benign,5,9
26,harsh,1,13
26,harsh,2,5
26,harsh,3,8
26,harsh,4,3
26,harsh,5,7
25,benign,1,1
25,benign,2,1
25,benign,3,2
25,benign,4,0
25,benign,5,1
23,benign,1,4
23,benign,2,4
23,benign,3,4
23,benign,4,0
23,benign,5,2
2,harsh,1,8
2,harsh,2,9
2,harsh,3,14
2,harsh,4,15
2,harsh,5,14
3,benign,1,5
3,benign,2,5
3,benign,3,3
3,benign,4,0
3,benign,5,5
4,harsh,1,9
4,harsh,2,19
4,harsh,3,19
4,harsh,4,9
4,harsh,5,12
S2,harsh,1,6
S2,harsh,2,8
S2,harsh,3,8
S2,harsh,4,14
S2,harsh,5,12
