Plot#,Year,Area,%area
1,2014,5867759,5.351
2,2014,5826129,10.913
3,2014,5038428,2.939
4,2014,6388093,3.275
5,2014,5531910,12.092
6,2014,4836556,3.106
7,2014,6534120,8.728
8,2014,4824746,3.024
9,2014,5085920,15.789
10,2014,5465606,6.616
11,2014,NA,NA
12,2014,5416242,21.306
13,2014,5804374,11.791
14,2014,5501178,12.684
15,2014,5356762,10.88
16,2014,6523615,13.36
17,2014,5905601,22.029
18,2014,5180418,9.659
19,2014,5895189,6.532
20,2014,5541387,7.295
21,2014,3644880,21.792
22,2014,5770664,2.719
23,2014,5721178,5.593
24,2014,5421318,18.627
25,2014,5219614,22.126
26,2014,6402575,1.531
27,2014,5248540,4.671
28,2014,5111786,2.324
29,2014,6340834,8.511
30,2014,5818838,9.181
1,2016,5247090,11.768
2,2016,5311222,11.749
3,2016,4962927,38.688
4,2016,7840964,16.888
5,2016,5096414,85.405
6,2016,6183996,34.576
7,2016,6045141,43.214
8,2016,5410278,17.459
9,2016,4915608,27.301
10,2016,4638846,28.899
11,2016,5598438,19.243
12,2016,4790458,35.835
13,2016,6467800,55.959
14,2016,5380278,15.615
15,2016,5572908,59.647
16,2016,4397502,5.57
17,2016,5223597,47.135
18,2016,6019956,17.998
19,2016,6091983,15.241
20,2016,5184774,13.156
21,2016,5977176,38.855
22,2016,6050756,29.874
23,2016,5677913,36.392
24,2016,5058681,26.253
25,2016,5215582,37.579
26,2016,4866052,3.779
27,2016,5455932,8.97
28,2016,5696878,7.97
29,2016,6582649,28.192
30,2016,5298990,6.425
