id,pop,hair_1,hair_2,hair_3,hair_4,hair_5,avg_hair
9,2,0,0,0,0,0,0
17,2,5.5,5.5,7,7,6,6.2
63,2,0,0,0,0,0,0
139,2,0,0,0,0,0,0
149,2,0,0,0,0,0,0
155,2,6,8,5,6.5,5,6.1
165,2,0,0,0,0,0,0
185,2,0,0,0,0,0,0
199,2,0,0,0,0,0,0
300,2,0,0,0,0,0,0
29,3,0,0,0,0,0,0
73,3,0,0,0,0,0,0
119,3,0,0,0,0,0,0
140,3,0,0,0,0,0,0
164,3,0,0,0,0,0,0
230,3,0,0,0,0,0,0
233,3,0,0,0,0,0,0
256,3,0,0,0,0,0,0
291,3,0,0,0,0,0,0
304,3,0,0,0,0,0,0
23,4,NA,NA,NA,NA,NA,NA
30,4,0,0,0,0,0,0
48,4,5,5,6,6,8,6
79,4,0,0,0,0,0,0
130,4,5,6,7,7.5,6,6.3
153,4,0,0,0,0,0,0
173,4,7.5,5,5,6,6,5.9
237,4,0,0,0,0,0,0
286,4,0,0,0,0,0,0
305,4,6,7,7,5,6.5,6.3
12,5,0,0,0,0,0,0
178,5,0,0,0,0,0,0
218,5,5,8,7,4,5,5.8
241,5,0,0,0,0,0,0
245,5,0,0,0,0,0,0
271,5,6,5,6,6,6,5.8
274,5,5,5,7,8,8,6.6
277,5,NA,NA,NA,NA,NA,NA
282,5,0,0,0,0,0,0
302,5,0,0,0,0,0,0
51,6,2,3,2.5,2,2,2.3
64,6,0,0,0,0,0,0
97,6,0,0,0,0,0,0
98,6,7,6,6.5,6,5.5,6.2
99,6,4,2.5,3,3.5,3,3.2
107,6,4,5,9,8.5,5,6.3
249,6,7,6,9.5,8.5,8,7.8
252,6,8,5,8,6,7,6.8
279,6,5.5,5.5,3,5,5,4.8
281,6,5.5,6,6,6,7,6.1
7,9,5,4.5,5,6.5,4,5
15,9,5.5,6,6,5,5,5.5
39,9,5,2,5,3,4,3.8
52,9,4,4,3,4,5,4
172,9,4,4,3.5,2,7,4.1
177,9,4.5,3.5,4,4,5,4.2
210,9,4,4,4.5,6.5,6,5
214,9,5,5.5,4.5,4.5,4.5,4.8
244,9,5,5,5.5,4.5,4.5,4.9
278,9,6,5,4.5,5,4,4.9
1,10,7,6,7,7.5,7,6.9
56,10,7,8,7,6,6,6.8
58,10,0,0,0,0,0,0
74,10,0,0,0,0,0,0
157,10,0,0,0,0,0,0
201,10,0,0,0,0,0,0
219,10,5,6,5.5,4,5,5.1
235,10,0,0,0,0,0,0
238,10,0,0,0,0,0,0
257,10,0,0,0,0,0,0
26,11,6,8,5,7.5,6,6.5
37,11,0,0,0,0,0,0
62,11,4,7,4.5,6.5,4,5.2
83,11,4,4.5,3,5,5.5,4.4
84,11,0,0,0,0,0,0
122,11,0,0,0,0,0,0
131,11,0,0,0,0,0,0
146,11,0,0,0,0,0,0
275,11,0,0,0,0,0,0
280,11,7.5,8,5,5.5,5,6.2
2,13,9,8.5,8,6,8,7.9
45,13,7,7,8.5,6.5,8,7.4
70,13,8,7.5,9,7,7,7.7
123,13,0,0,0,0,0,0
125,13,0,0,0,0,0,0
135,13,0,0,0,0,0,0
175,13,0,0,0,0,0,0
180,13,0,0,0,0,0,0
200,13,6,7,6,5.5,6,6.1
240,13,6,7.5,7.5,8.5,8,7.5
4,15,7,8,7,8,8.5,7.7
14,15,5.5,5,5,6,6,5.5
46,15,6,8.5,7.5,7,6,7
88,15,0,0,0,0,0,0
106,15,7.5,9,8.5,9.5,8,8.5
113,15,6.5,5.5,6,6,6,6
152,15,6,4.5,7,7,4.5,5.8
197,15,0,0,0,0,0,0
236,15,6.5,5.5,7,4.5,6,5.9
310,15,7,5.5,6,10,6,6.9
3,16,6,5,4,4,7,5.2
35,16,0,0,0,0,0,0
85,16,8,6,10,9,9,8.4
105,16,4,8,4,5.5,7,5.7
110,16,3,2.5,2,3,3,2.7
134,16,0,0,0,0,0,0
215,16,0,0,0,0,0,0
262,16,4,5.5,6,6,6,5.5
276,16,4,3.5,3,2,4,3.3
299,16,5,4.5,4,5,6,4.9
19,17,0,0,0,0,0,0
31,17,0,0,0,0,0,0
34,17,0,0,0,0,0,0
112,17,0,0,0,0,0,0
150,17,0,0,0,0,0,0
154,17,0,0,0,0,0,0
162,17,0,0,0,0,0,0
225,17,0,0,0,0,0,0
228,17,0,0,0,0,0,0
288,17,0,,0,0,0,0
82,18,0,0,0,0,0,0
101,18,NA,NA,NA,NA,NA,NA
108,18,4.5,4.5,4.5,5,4.5,4.6
126,18,3.5,5,4,4.5,4.5,4.3
133,18,0,0,0,0,0,0
142,18,0,0,0,0,0,0
163,18,5,5.5,4,4,3.5,4.4
186,18,6.5,4,5,4,3.5,4.6
209,18,4.5,5,5,5,5,4.9
232,18,0,0,0,0,0,0
18,19,0,0,0,0,0,0
68,19,4.5,4,2.5,3.5,3,3.5
76,19,2.5,2.5,2.5,3,3,2.7
77,19,0,0,0,0,0,0
92,19,0,0,0,0,0,0
187,19,3,2.5,3.5,4,2.5,3.1
191,19,0,0,0,0,0,0
196,19,0,0,0,0,0,0
272,19,0,0,0,0,0,0
273,19,0,0,0,0,0,0
44,20,0,0,0,0,0,0
87,20,4.5,4.5,5,2.5,4,4.1
89,20,0,0,0,0,0,0
137,20,4,7,7.5,5,3,5.3
193,20,0,0,0,0,0,0
204,20,0,0,0,0,0,0
234,20,0,0,0,0,0,0
255,20,0,0,0,0,0,0
284,20,0,0,0,0,0,0
289,20,0,0,0,0,0,0
10,23,0,0,0,0,0,0
90,23,0,0,0,0,0,0
100,23,0,0,0,0,0,0
109,23,0,0,0,0,0,0
117,23,0,0,0,0,0,0
118,23,0,0,0,0,0,0
129,23,0,0,0,0,0,0
208,23,1,0,0,0,1,0.4
221,23,0,0,0,0,0,0
224,23,0,0,0,0,0,0
81,25,0,0,0,0,0,0
94,25,0,0,0,0,0,0
138,25,0,0,0,0,0,0
156,25,0,0,0,0,0,0
217,25,NA,NA,NA,NA,NA,NA
231,25,0,0,0,0,0,0
247,25,0,0,0,0,0,0
259,25,0,0,0,0,0,0
270,25,0,0,0,0,0,0
287,25,0,0,0,0,0,0
8,26,0,0,0,0,0,0
47,26,0,0,0,0,0,0
80,26,4,7,7,4,7,5.8
102,26,0,0,0,0,0,0
121,26,6,4,3.5,5.5,4.5,4.7
167,26,0,0,0,0,0,0
188,26,6.5,5,6,6.5,5,5.8
203,26,0,0,0,0,0,0
207,26,0,0,0,0,1,0.2
229,26,0,0,0,0,0,0
38,27,0,0,0,0,0,0
40,27,0,0,0,0,0,0
49,27,0,0,0,0,0,0
57,27,0,0,0,0,0,0
91,27,0,0,0,0,0,0
93,27,0,0,0,0,0,0
147,27,0,0,0,0,0,0
176,27,0,0,0,0,0,0
222,27,0,0,0,0,0,0
261,27,5,5,5,5,4.5,4.9
6,29,0,0,0,0,0,0
75,29,0,0,0,0,0,0
78,29,0,0,0,0,0,0
96,29,0,0,0,0,0,0
145,29,0,0,0,0,0,0
182,29,0,0,0,0,0,0
184,29,0,0,0,0,0,0
242,29,0,0,0,0,0,0
250,29,0,0,0,0,0,0
297,29,0,0,0,0,0,0
